Variable,WINU,WWR,Recommended,Baseline,EUI_kBtu_per_sqft,TEDI_kBtu_per_sqft,CEDI_kBtu_per_sqft,EDI_kBtu_per_sqft,peak_cooling_W_per_sqft,peak_heating_W_per_sqft
WINU,0.14,0.5,no,no,500.51621,54.386635,251.60695,305.993585,12.5207514154,5.8186148264
WINU,0.3,0.5,no,no,500.51621,54.386635,251.60695,305.993585,12.5207514154,5.8186148264
WINU,0.4,0.5,no,yes,500.51621,54.386635,251.60695,305.993585,12.5207514154,5.8186148264
WINU,0.5,0.5,no,no,500.51621,54.386635,251.60695,305.993585,12.5207514154,5.8186148264
WINU,0.8,0.5,no,no,500.51621,54.386635,251.60695,305.993585,12.5207514154,5.8186148264
WWR,0.4,0.1,no,no,507.116449,51.454628,251.859594,303.314222,11.6689873365,5.1941099055
WWR,0.4,0.3,no,no,502.072279,52.925274,250.851297,303.776571,12.1491276149,5.5197722522
WWR,0.4,0.5,no,yes,500.51621,54.386635,251.60695,305.993585,12.5207514154,5.8186148264
WWR,0.4,0.7,no,no,501.403506,55.980618,253.585861,309.566479,13.3650562451,6.0576332441
WWR,0.4,0.9,no,no,503.893287,57.651239,256.338263,313.989502,14.1614568171,6.2742145473
