RUN,Variable,WWR,WINU,WINSHGC,ROOFR,WALLR,INFIL,Recommended,Baseline,EUI_kBtu_per_sqft,TEDI_kBtu_per_sqft,CEDI_kBtu_per_sqft,EDI_kBtu_per_sqft,sensible_peak_cooling_W_per_sqft,sensible_peak_heating_W_per_sqft,time_of_peak_cooling,time_of_peak_heating,peak_heating_W_per_sqft,peak_cooling_W_per_sqft
184,WWR,0.35,0.38,0.4,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
372,WWR,0.4,0.38,0.4,35.0,20.0,0.07,no,yes,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
543,WWR,0.45,0.38,0.4,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
225,WINU,0.4,0.17,0.4,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
270,WINU,0.4,0.25,0.4,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
318,WINU,0.4,0.32,0.4,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
372,WINU,0.4,0.38,0.4,35.0,20.0,0.07,no,yes,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
325,WINSHGC,0.4,0.38,0.2,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
336,WINSHGC,0.4,0.38,0.25,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
347,WINSHGC,0.4,0.38,0.3,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
356,WINSHGC,0.4,0.38,0.35,35.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
372,WINSHGC,0.4,0.38,0.4,35.0,20.0,0.07,no,yes,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
365,ROOFR,0.4,0.38,0.4,30.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
372,ROOFR,0.4,0.38,0.4,35.0,20.0,0.07,no,yes,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
377,ROOFR,0.4,0.38,0.4,40.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
379,ROOFR,0.4,0.38,0.4,50.0,20.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
369,WALLR,0.4,0.38,0.4,35.0,15.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
372,WALLR,0.4,0.38,0.4,35.0,20.0,0.07,no,yes,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
374,WALLR,0.4,0.38,0.4,35.0,25.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
376,WALLR,0.4,0.38,0.4,35.0,30.0,0.07,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
370,INFIL,0.4,0.38,0.4,35.0,20.0,0.01,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
371,INFIL,0.4,0.38,0.4,35.0,20.0,0.04,no,no,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
372,INFIL,0.4,0.38,0.4,35.0,20.0,0.07,no,yes,21.027824999999996,7.849937000000001,8.424708,16.274645,10.732518591895728,9.306489472811206,10-JUL-06:02,06-FEB-06:01,7.371647415918866,7.924334834629061
