,Variable,ROTATE,THERMALMASS,WWR,SHADING_OVERHANG_PROJECTION,WINU,WINSHGC,ROOFR,WALLR,SCALE_X,Recommended,Baseline,EUI_kBtu_per_sqft,TEDI_kBtu_per_sqft,CEDI_kBtu_per_sqft,EDI_kBtu_per_sqft,peak_cooling_W_per_sqft,peak_heating_W_per_sqft
0,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
1,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
2,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
3,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
4,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
5,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
6,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
7,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
8,ROTATE,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
9,ROTATE,30.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.12891025,2.01789,20.344633,22.362523000000003,3.5765478053080484,7.6067661372419995
10,ROTATE,60.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.09464833333334,2.035605,20.493551999999994,22.529156999999994,3.7186396407942004,7.630711137031599
11,ROTATE,90.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,no,44.22073719444445,2.028946,20.620887000000003,22.649833000000005,3.815130823619815,7.657681157202779
